group	cost	house_cost	rent	1h-rent	2h-rent	3h-rent	4h-rent	hotel-rent	mortgage
0	60	50	2	10	30	90	160	250	30
0	60	50	4	20	60	180	320	450	30
1	100	50	6	30	90	270	400	550	50
1	100	50	6	30	90	270	400	550	50
1	120	50	8	40	100	300	450	600	60
2	140	100	10	50	150	450	625	750	70
2	140	100	10	50	150	450	625	750	70
2	160	100	12	60	180	500	700	900	80
3	180	100	14	70	200	550	750	950	90
3	180	100	14	70	200	550	750	950	90
3	200	100	16	80	220	600	800	1000	100
4	220	150	18	90	250	700	875	1050	110
4	220	150	18	90	250	700	875	1050	110
4	240	150	20	100	300	750	925	1100	120
5	260	150	22	110	330	800	975	1150	130
5	260	150	22	110	330	800	975	1150	130
5	280	150	24	120	360	850	1025	1200	140
6	300	200	26	130	390	900	1100	1275	150
6	300	200	26	130	390	900	1100	1275	150
6	320	200	28	150	450	1000	1200	1400	160
7	350	200	35	175	500	1100	1300	1500	175
7	400	200	50	200	600	1400	1700	2000	200
